,step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,y_prednew
63,1,CASH_IN,764772.98,C482307698,3946209.08,4710982.07,C985934102,3056433.58,971418.91,0
64,1,CASH_IN,106847.36,C1793899405,4710982.07,4817829.42,C575335780,335711.51,52415.15,0
65,2,TRANSFER,303473.14,C900824070,798.0,0.0,C790722099,0.0,303473.14,0
66,2,DEBIT,3949.99,C800218956,5533.0,1583.01,C1668376627,209201.42,195932.4,0
67,2,PAYMENT,740.95,C1739806152,782.0,41.05,M948315053,0.0,0.0,0
68,2,PAYMENT,8416.21,C107632469,56060.58,47644.38,M1998224723,0.0,0.0,0
69,2,TRANSFER,414959.03,C2010426450,0.0,0.0,C1916720513,6375632.67,6235766.54,0
70,2,TRANSFER,317831.06,C703824017,0.0,0.0,C1789550256,3964356.31,2943614.6,0
71,2,TRANSFER,548202.26,C371054890,0.0,0.0,C453211571,3726770.23,3809570.13,0
72,2,TRANSFER,180173.39,C2009317431,0.0,0.0,C2134357721,280908.87,182906.2,0
73,2,TRANSFER,243853.63,C623330465,0.0,0.0,C2083562754,1807948.63,2051802.27,0
74,2,TRANSFER,1339661.93,C283492252,0.0,0.0,C1899073220,3043311.43,3208966.39,0
75,2,TRANSFER,744654.21,C1758060579,0.0,0.0,C665576141,6942242.08,6818933.6,0
76,2,PAYMENT,10039.29,C23218037,1595.0,0.0,M511646132,0.0,0.0,0
77,2,PAYMENT,537.8,C593185976,110016.0,109478.2,M70543368,0.0,0.0,0
78,2,DEBIT,3925.8,C402578964,22062.0,18136.2,C173783788,539688.48,549946.93,0
79,2,CASH_OUT,158934.62,C1898629094,18136.2,0.0,C187649742,168294.74,327229.36,0
80,2,DEBIT,482.58,C141388791,439.0,0.0,C716157500,4894.45,5377.03,0
81,2,TRANSFER,107159.07,C800990938,6476.0,0.0,C1877453512,0.0,107159.07,0
82,2,TRANSFER,1096187.24,C1093223281,1096187.24,0.0,C2063275841,0.0,0.0,1
83,2,CASH_OUT,1096187.24,C77163673,1096187.24,0.0,C644345897,0.0,1096187.24,1
84,6,TRANSFER,495294.14,C651676429,0.0,0.0,C2083562754,2808555.73,5312631.16,0
85,6,TRANSFER,1095802.84,C602529144,0.0,0.0,C1636786811,5607296.22,6703099.06,0
86,6,TRANSFER,1408829.48,C1191985705,0.0,0.0,C1360767589,2240534.89,5188539.32,0
87,6,TRANSFER,704242.78,C104893413,0.0,0.0,C451111351,3375453.14,4654237.15,0
88,6,TRANSFER,2025330.83,C509065091,0.0,0.0,C214774813,13000000.0,15900000.0,0
89,6,TRANSFER,1488547.68,C1941482284,0.0,0.0,C1446521801,5037279.0,6525826.68,0
90,6,TRANSFER,13704.0,C1735554279,13704.0,0.0,C12793273,0.0,1658746.09,0
91,6,TRANSFER,312895.63,C1724067349,40171.0,0.0,C1651945012,0.0,1556799.98,0
92,6,CASH_OUT,13704.0,C1421965867,13704.0,0.0,C1438594533,3382.84,143675.35,1
93,7,CASH_IN,367834.87,C1023460014,902685.56,1270520.43,C1609562230,4883037.95,4515203.08,0
94,7,CASH_IN,287937.99,C1716876539,1270520.43,1558458.42,C1423992712,9977117.37,9689179.38,0
95,7,CASH_IN,37360.0,C1052245880,1558458.42,1595818.41,C790722099,88544.15,51184.15,0
96,7,CASH_OUT,269206.3,C1526476924,0.0,0.0,C1065997164,974210.2,2826797.81,0
97,7,CASH_OUT,164.0,C1173659886,164.0,0.0,C1769947269,4068.0,0.0,1
98,7,TRANSFER,164.0,C1455969984,164.0,0.0,C2119910556,0.0,0.0,1
